site_id,cell_id,lon,lat
s167,22433,31.060937,-19.93486
s168,22201,29.924889,-19.889913999999997
s168,22202,29.924889,-19.889913999999997
s168,22203,29.924889,-19.889913999999997
s168,40201,29.924889,-19.889913999999997
s168,40202,29.924889,-19.889913999999997
s168,40203,29.924889,-19.889913999999997
s169,22181,30.233377,-20.066657
s169,22182,30.233377,-20.066657
s169,22183,30.233377,-20.066657
s169,40141,30.233377,-20.066657
s169,40146,30.233377,-20.066657
s169,40142,30.233377,-20.066657
s169,40147,30.233377,-20.066657
s169,40143,30.233377,-20.066657
s169,40148,30.233377,-20.066657
s170,20141,30.910451000000002,-19.452009
s170,20142,30.910451000000002,-19.452009
s170,20143,30.910451000000002,-19.452009
s171,20721,30.332181,-18.977950999999997
s171,20722,30.332181,-18.977950999999997
s171,20723,30.332181,-18.977950999999997
s171,20724,30.332181,-18.977950999999997
s172,14281,28.7476,-19.54226
s172,14282,28.7476,-19.54226
s172,14283,28.7476,-19.54226
s172,14289,28.7476,-19.54226
s172,34551,28.7476,-19.54226
s172,34556,28.7476,-19.54226
s172,34550,28.7476,-19.54226
s172,34552,28.7476,-19.54226
s172,34557,28.7476,-19.54226
s172,34555,28.7476,-19.54226
s172,34553,28.7476,-19.54226
s172,34558,28.7476,-19.54226
s172,34559,28.7476,-19.54226
s173,20271,31.020738,-19.372815
s173,20272,31.020738,-19.372815
s173,20273,31.020738,-19.372815
s173,20276,31.020738,-19.372815
s173,40041,31.020738,-19.372815
s173,40046,31.020738,-19.372815
s173,40042,31.020738,-19.372815
s173,40047,31.020738,-19.372815
s173,40043,31.020738,-19.372815
s173,40048,31.020738,-19.372815
s173,40040,31.020738,-19.372815
s173,40045,31.020738,-19.372815
s173,40049,31.020738,-19.372815
s174,10311,29.173537,-19.531191999999997
s174,10312,29.173537,-19.531191999999997
s174,10313,29.173537,-19.531191999999997
s174,35801,29.173537,-19.531191999999997
s174,35802,29.173537,-19.531191999999997
s174,35803,29.173537,-19.531191999999997
s174,35806,29.173537,-19.531191999999997
s174,35807,29.173537,-19.531191999999997
s174,35808,29.173537,-19.531191999999997
s175,14151,28.715178,-19.520775
s175,14156,28.715178,-19.520775
s175,14153,28.715178,-19.520775
s175,34921,28.715178,-19.520775
s175,34926,28.715178,-19.520775
s175,34920,28.715178,-19.520775
s175,34923,28.715178,-19.520775
s175,34928,28.715178,-19.520775
s175,34929,28.715178,-19.520775
s176,10241,28.766886,-19.520028
s176,10242,28.766886,-19.520028
s177,22161,31.300067,-19.900184
s177,22162,31.300067,-19.900184
s177,22163,31.300067,-19.900184
s177,40501,31.300067,-19.900184
s177,40502,31.300067,-19.900184
s177,40503,31.300067,-19.900184
s178,22041,31.354385999999998,-19.875636
s178,22042,31.354385999999998,-19.875636
s178,22043,31.354385999999998,-19.875636
s179,20731,30.992248,-19.339152
s179,20732,30.992248,-19.339152
s179,20733,30.992248,-19.339152
s180,20981,28.944200000000002,-19.412978000000003
s180,20982,28.944200000000002,-19.412978000000003
s180,20983,28.944200000000002,-19.412978000000003
s180,40091,28.944200000000002,-19.412978000000003
s180,40092,28.944200000000002,-19.412978000000003
s180,40093,28.944200000000002,-19.412978000000003
s181,20521,29.212574,-19.23344
s181,20522,29.212574,-19.23344
s181,20523,29.212574,-19.23344
s181,20524,29.212574,-19.23344
s181,20528,29.212574,-19.23344
s181,40081,29.212574,-19.23344
s181,40086,29.212574,-19.23344
s181,40082,29.212574,-19.23344
s181,40087,29.212574,-19.23344
s181,40083,29.212574,-19.23344
s181,40088,29.212574,-19.23344
s181,40084,29.212574,-19.23344
s181,40429,29.212574,-19.23344
s182,20381,29.2197,-19.23839
s182,20382,29.2197,-19.23839
s182,20383,29.2197,-19.23839
s182,20388,29.2197,-19.23839
s183,22371,30.522175,-20.49525
s183,22372,30.522175,-20.49525
s183,22377,30.522175,-20.49525
s183,22373,30.522175,-20.49525
s183,22374,30.522175,-20.49525
s184,22331,30.282035,-20.649522
s184,22332,30.282035,-20.649522
s184,22333,30.282035,-20.649522
s184,40331,30.282035,-20.649522
s184,40332,30.282035,-20.649522
s184,40333,30.282035,-20.649522
s185,10401,28.7992,-19.564318999999998
s185,10402,28.7992,-19.564318999999998
s185,10403,28.7992,-19.564318999999998
s186,22131,30.244663,-20.031657000000003
s186,22132,30.244663,-20.031657000000003
s186,22133,30.244663,-20.031657000000003
s186,40381,30.244663,-20.031657000000003
s186,40386,30.244663,-20.031657000000003
s186,40380,30.244663,-20.031657000000003
s186,40382,30.244663,-20.031657000000003
s186,40387,30.244663,-20.031657000000003
s186,40385,30.244663,-20.031657000000003
s186,40383,30.244663,-20.031657000000003
s186,40388,30.244663,-20.031657000000003
s186,40389,30.244663,-20.031657000000003
s187,20361,29.504793,-19.191467
s187,20362,29.504793,-19.191467
s187,20363,29.504793,-19.191467
s187,20364,29.504793,-19.191467
s188,10061,28.7685,-19.51133
s188,10062,28.7685,-19.51133
s188,10063,28.7685,-19.51133
s188,10064,28.7685,-19.51133
s188,10066,28.7685,-19.51133
s188,10067,28.7685,-19.51133
s188,10068,28.7685,-19.51133
s188,10069,28.7685,-19.51133
s188,34101,28.7685,-19.51133
s188,34106,28.7685,-19.51133
s188,34100,28.7685,-19.51133
s188,34102,28.7685,-19.51133
s188,34107,28.7685,-19.51133
s188,34105,28.7685,-19.51133
s188,34103,28.7685,-19.51133
s188,34108,28.7685,-19.51133
s188,35003,28.7685,-19.51133
s188,34104,28.7685,-19.51133
s188,34109,28.7685,-19.51133
s188,35004,28.7685,-19.51133
s188,35005,28.7685,-19.51133
s188,35000,28.7685,-19.51133
s188,35009,28.7685,-19.51133
s188,35006,28.7685,-19.51133
s188,35007,28.7685,-19.51133
s188,35008,28.7685,-19.51133
s189,20511,29.32243,-19.291072
s189,20512,29.32243,-19.291072
s189,20513,29.32243,-19.291072
s190,20471,29.77086,-18.790312999999998
s190,20472,29.77086,-18.790312999999998
s190,20473,29.77086,-18.790312999999998
s190,20476,29.77086,-18.790312999999998
s191,12201,28.899928,-19.623468
s191,12202,28.899928,-19.623468
s191,12203,28.899928,-19.623468
s191,12206,28.899928,-19.623468
s191,34971,28.899928,-19.623468
s191,34976,28.899928,-19.623468
s191,34970,28.899928,-19.623468
s191,34972,28.899928,-19.623468
s191,34977,28.899928,-19.623468
s191,34975,28.899928,-19.623468
s191,34973,28.899928,-19.623468
s191,34978,28.899928,-19.623468
s191,34979,28.899928,-19.623468
s191,34974,28.899928,-19.623468
s191,35129,28.899928,-19.623468
s191,35124,28.899928,-19.623468
s191,35125,28.899928,-19.623468
s191,35126,28.899928,-19.623468
s191,35127,28.899928,-19.623468
s191,35120,28.899928,-19.623468
s191,35121,28.899928,-19.623468
s191,35122,28.899928,-19.623468
s192,20431,29.050156,-18.983268000000002
s192,20432,29.050156,-18.983268000000002
s192,20433,29.050156,-18.983268000000002
s192,20434,29.050156,-18.983268000000002
s192,20436,29.050156,-18.983268000000002
s192,20438,29.050156,-18.983268000000002
s193,20321,29.734830000000002,-19.190388
s193,20322,29.734830000000002,-19.190388
s193,20323,29.734830000000002,-19.190388
s194,22291,29.3166,-19.75442
s194,22292,29.3166,-19.75442
s194,22293,29.3166,-19.75442
s195,22231,29.695294,-20.2364
s195,22232,29.695294,-20.2364
s195,22233,29.695294,-20.2364
s195,22234,29.695294,-20.2364
s195,40151,29.695294,-20.2364
s195,40152,29.695294,-20.2364
s196,22051,31.467363,-19.688375999999998
s196,22052,31.467363,-19.688375999999998
s196,22053,31.467363,-19.688375999999998
s197,22111,30.819879999999998,-20.12226
s197,22112,30.819879999999998,-20.12226
s197,22113,30.819879999999998,-20.12226
s197,22118,30.819879999999998,-20.12226
s197,22116,30.819879999999998,-20.12226
s197,22117,30.819879999999998,-20.12226
s197,40311,30.819879999999998,-20.12226
s197,40316,30.819879999999998,-20.12226
s197,40310,30.819879999999998,-20.12226
s197,40312,30.819879999999998,-20.12226
s197,40317,30.819879999999998,-20.12226
s197,40315,30.819879999999998,-20.12226
s197,40313,30.819879999999998,-20.12226
s197,40318,30.819879999999998,-20.12226
s197,40319,30.819879999999998,-20.12226
s198,20291,30.194796,-20.450661
s198,20292,30.194796,-20.450661
s198,20293,30.194796,-20.450661
s198,20294,30.194796,-20.450661
s198,20295,30.194796,-20.450661
s199,10371,28.78424,-19.50823
s199,10372,28.78424,-19.50823
s199,10378,28.78424,-19.50823
s199,34111,28.78424,-19.50823
s199,34116,28.78424,-19.50823
s199,34110,28.78424,-19.50823
s199,34112,28.78424,-19.50823
s199,34117,28.78424,-19.50823
s199,34115,28.78424,-19.50823
s199,34113,28.78424,-19.50823
s199,34118,28.78424,-19.50823
s199,34119,28.78424,-19.50823
s199,34114,28.78424,-19.50823
s199,35799,28.78424,-19.50823
s199,35794,28.78424,-19.50823
s200,20101,31.0223,-19.34897
s200,20102,31.0223,-19.34897
s200,20103,31.0223,-19.34897
s200,20106,31.0223,-19.34897
s200,20107,31.0223,-19.34897
s200,40371,31.0223,-19.34897
s200,40376,31.0223,-19.34897
s200,40370,31.0223,-19.34897
s200,40372,31.0223,-19.34897
s200,40377,31.0223,-19.34897
s200,40375,31.0223,-19.34897
s200,40373,31.0223,-19.34897
s200,40378,31.0223,-19.34897
s200,40379,31.0223,-19.34897
s200,40374,31.0223,-19.34897
s200,40559,31.0223,-19.34897
s200,40554,31.0223,-19.34897
s200,40555,31.0223,-19.34897
s200,40556,31.0223,-19.34897
s200,40557,31.0223,-19.34897
s200,40550,31.0223,-19.34897
s200,40551,31.0223,-19.34897
s200,40552,31.0223,-19.34897
s201,20111,31.008381999999997,-19.375688
s201,20112,31.008381999999997,-19.375688
s201,20113,31.008381999999997,-19.375688
s201,20116,31.008381999999997,-19.375688
s202,22021,31.0504,-19.999589999999998
s202,22022,31.0504,-19.999589999999998
s202,22023,31.0504,-19.999589999999998
s203,21061,29.463054,-20.061556
s203,21062,29.463054,-20.061556
s203,21063,29.463054,-20.061556
s204,22531,29.946669999999997,-20.207342999999998
s204,22532,29.946669999999997,-20.207342999999998
